,Seq Num,Obs ID,Instrument,Grating,Appr Exp ,Exposure ,Target Name,PI Name,RA,Dec,Status,Data Mode,Exp Mode ,Avg Cnt Rate,Evt Cnt,Start Date,Public Release Date,Proposal,Science Category,Type,Obs Cycle,Prop Cycle,Joint,Gname
410,401413,13728,ACIS-S,NONE,15.0,13.67,Holmberg IX X-1,Grise,149.472,69.063,archived,FAINT,TE,1.371921289,18751.0,7/20/2012 3:47,7/20/2013 15:54,13400775,BH AND NS BINARIES,GO,13,13,HST,Holmberg IX X-1
411,501598,13765,ACIS-S,NONE,10.0,9.84,SN 2012aw,Pooley,160.974,11.672,archived,VFAINT,TE,8.710266573,85697.0,4/11/2012 5:21,4/12/2013 14:48,13500310,SN, SNR AND ISOLATED NS,TOO,13,13,NGC 3351
412,501623,13791,ACIS-S,NONE,40.0,39.45,SN2011ja,Ray,196.296,-49.523999999999994,archived,VFAINT,TE,11.15063789,439946.0,1/10/2012 10:24,1/12/2013 7:53,13500809,SN, SNR AND ISOLATED NS,TOO,13,13,SN2011ja
413,501628,13796,ACIS-S,NONE,20.0,19.81,SN2004am,Chiang,148.944,69.67699999999999,archived,VFAINT,TE,11.59226177,229610.0,8/9/2012 15:32,8/10/2013 13:38,13500910,SN, SNR AND ISOLATED NS,GO,13,13,SN2004am
414,600995,13812,ACIS-S,NONE,160.0,157.46,M51,Kuntz,202.5,47.2,archived,FAINT,TE,8.941102853,1407839.0,9/12/2012 18:23,10/11/2013 6:13,13610752,NORMAL GALAXIES,GO,13,13,HST,MESSIER 051
415,600995,13813,ACIS-S,NONE,180.0,179.2,M51,Kuntz,202.5,47.2,archived,FAINT,TE,9.021264137000001,1616578.0,9/9/2012 17:47,10/11/2013 6:13,13610752,NORMAL GALAXIES,GO,13,13,HST,MESSIER 051
416,600995,13814,ACIS-S,NONE,190.0,189.85,M51,Kuntz,202.5,47.2,archived,FAINT,TE,8.883232216,1686480.0,9/20/2012 7:21,10/11/2013 6:13,13610752,NORMAL GALAXIES,GO,13,13,HST,MESSIER 051
417,600995,13815,ACIS-S,NONE,68.0,67.18,M51,Kuntz,202.5,47.2,archived,FAINT,TE,9.048623537000001,607918.0,9/23/2012 8:12,10/11/2013 6:13,13610752,NORMAL GALAXIES,GO,13,13,HST,MESSIER 051
418,600995,13816,ACIS-S,NONE,74.0,73.1,M51,Kuntz,202.5,47.2,archived,FAINT,TE,8.950913107,654344.0,9/26/2012 5:11,10/11/2013 6:13,13610752,NORMAL GALAXIES,GO,13,13,HST,MESSIER 051
419,600996,13817,ACIS-S,NONE,180.0,171.96,NGC3115,Irwin,151.308,-7.718999999999999,archived,VFAINT,TE,10.43718024,1794735.0,1/18/2012 14:07,1/23/2012 6:34,13610808,NORMAL GALAXIES,GO,13,13,HST,NGC 3115
420,600996,13819,ACIS-S,NONE,72.0,75.55,NGC3115,Irwin,151.308,-7.718999999999999,archived,VFAINT,TE,10.355087900000001,782371.0,1/26/2012 22:20,2/7/2012 12:27,13610808,NORMAL GALAXIES,GO,13,13,HST,NGC 3115
421,600996,13820,ACIS-S,NONE,187.0,184.21,NGC3115,Irwin,151.308,-7.718999999999999,archived,VFAINT,TE,9.322938018,1717360.0,1/31/2012 14:54,2/6/2012 6:26,13610808,NORMAL GALAXIES,GO,13,13,HST,NGC 3115
422,600996,13821,ACIS-S,NONE,160.2,158.01,NGC3115,Irwin,151.308,-7.718999999999999,archived,VFAINT,TE,10.02940234,1584784.0,2/3/2012 9:38,2/6/2012 6:36,13610808,NORMAL GALAXIES,GO,13,13,HST,NGC 3115
423,600996,13822,ACIS-S,NONE,162.8,160.22,NGC3115,Irwin,151.308,-7.718999999999999,archived,VFAINT,TE,10.69046653,1712781.0,1/21/2012 8:52,2/6/2012 5:56,13610808,NORMAL GALAXIES,GO,13,13,HST,NGC 3115
424,601003,13829,ACIS-S,NONE,93.0,94.82,NGC 3384,Lehmer,162.07,12.63,archived,VFAINT,TE,4.004825272,379737.0,6/23/2012 1:10,6/25/2013 5:40,13620516,NORMAL GALAXIES,GO,13,13,HST,NGC 3384
425,601004,13830,ACIS-I,NONE,20.0,19.72,NGC 253,Hornschemeier,11.889000000000001,-25.288,archived,FAINT,TE,6.191651168,122086.0,9/2/2012 5:59,9/2/2013 15:01,13620679,NORMAL GALAXIES,GO,13,13,NRAO,NGC 0253
426,601005,13831,ACIS-I,NONE,20.0,19.72,NGC 253,Hornschemeier,11.889000000000001,-25.288,archived,FAINT,TE,5.783165847,114016.0,9/18/2012 3:37,9/18/2013 14:59,13620679,NORMAL GALAXIES,GO,13,13,NRAO,NGC 0253
427,601006,13832,ACIS-I,NONE,20.0,19.72,NGC 253,Hornschemeier,11.889000000000001,-25.288,archived,FAINT,TE,5.57238352,109878.0,11/16/2012 1:04,11/16/2013 13:29,13620679,NORMAL GALAXIES,GO,13,13,NRAO,NGC 0253
428,801197,14017,ACIS-I,NONE,16.0,15.01,PLCKG266.6-27.3,Mazzotta,93.96700000000001,-57.781000000000006,archived,VFAINT,TE,2.927208555,43928.0,11/3/2012 15:07,11/23/2013 15:00,13800663,CLUSTERS OF GALAXIES,GO,13,13,HST,PLCKG266.6-27.3
429,801197,14018,ACIS-I,NONE,37.0,35.6,PLCKG266.6-27.3,Mazzotta,93.96700000000001,-57.781000000000006,archived,VFAINT,TE,2.854286808,101613.0,9/15/2012 0:45,11/23/2013 15:00,13800663,CLUSTERS OF GALAXIES,GO,13,13,HST,PLCKG266.6-27.3
430,501787,14230,ACIS-S,NONE,80.0,79.03,SN 1979C,Patnaude,185.74400000000003,15.798,archived,VFAINT,TE,5.297464263999999,418674.0,2/16/2012 12:22,2/21/2013 8:50,13500696,SN, SNR AND ISOLATED NS,GO,13,13,M100
431,401301,14231,ACIS-S,NONE,60.5,58.84,NGC 7793,Soria,359.5,-32.556,archived,VFAINT,TE,6.117145941,359953.0,8/13/2011 14:14,1/3/2013 6:51,13400618,BH AND NS BINARIES,GO,12,13,None,NGC 7793
