band_id,Region,X,Y,Radius,Annulus_Inner_Radius,Annulus_Outer_Radius,Net Flux (Jy),Flux Uncertainty,Flag,aperture_sum,tot_bg,Target Counts,Target Flux,Annulus Counts,Annulus Flux,Image Data Shape,Mask Shape,Mask Type,Non-zero mask elements,Flux Conv,MzpInstr,Offset in Arcseconds,Exists?,Point Source Position,Target Error,Annulus Error,Overlap Error (in counts),Overlap Counts
{'W3'},120,176.8116251669976,251.19741357956195,9,16,23,0.0007084419032274969,0.0011821426683450683,Valid,129205.79908653037,0.37252875466500596,129205.79908653037,0.37323719656823345,434644.8282189198,1.2555598768339091,"(369, 437)","(369, 437)",bool,255,31.674,17.6,[7.418232586074221],Point Source Detected,"[(180.4341362765943, 247.19937864567987)]",0.001038350354610863,0.0019044526114731048,[],
{'W2'},3,366.3504722272364,247.7422492690373,9,16,23,7.152675727006841e-05,0.000141825256852679,Valid,2343.4993069670772,0.005965945176626572,2343.4993069670772,0.0060374719338966406,7804.886481868644,0.020107444854556226,"(369, 437)","(369, 437)",bool,240,171.787,19.56,[12.13025853660956],Point Source Detected,"[(374.98496950002595, 245.9330360286206)]",0.00012471615416244323,0.00022760069866729245,[],
{'W2'},5,337.953951658367,77.23204321131463,9,16,23,3.4526455041968517e-05,0.00013214664056427188,Valid,2032.1085559795783,0.005200720825332115,2032.1085559795783,0.0052352472803740835,6803.789586373547,0.017528355374267498,"(369, 437)","(369, 437)",bool,251,171.787,19.56,[3.344228698621333],Yes!!,"[(338.96716715757196, 75.02097388741595)]",0.00011613516670032318,0.00021250332636134887,[],
{'W2'},6,281.14775496044336,141.03078982251745,9,16,23,0.00015769239691790053,0.00014081216481477826,Valid,2317.8818496695385,0.005813782214516616,2317.8818496695385,0.005971474611434517,7605.820850044549,0.019594599315593042,"(369, 437)","(369, 437)",bool,219,171.787,19.56,[3.076099940488436],Yes!!,"[(282.7078359166899, 139.42734088626844)]",0.00012403262720059433,0.00022467944442105433,[],
{'W2'},7,277.2371378278582,287.356363815867,9,16,23,0.00010115582750201777,0.00014798219514060952,Valid,2553.456545367807,0.006477221294799975,2553.456545367807,0.006578377122301993,8473.758210503984,0.021830634734325845,"(369, 437)","(369, 437)",bool,254,171.787,19.56,"[7.89068574953197, 5.396014991466557]",Yes!!,"[(275.8340850537986, 281.79184243243986), (280.9547959972183, 288.6132383870843)]",0.00013018307666788504,0.000237152839698217,[],
{'W2'},8,271.08563927855295,171.90811985561467,9,16,23,0.00028966547008943584,0.00015474867881240783,Valid,2808.2110593445013,0.006945026430542205,2808.2110593445013,0.007234691900631641,9085.759473004322,0.023407311302938546,"(369, 437)","(369, 437)",bool,253,171.787,19.56,[1.825459030088275],Yes!!,"[(270.1092992888553, 172.80773058870955)]",0.00013652279412842605,0.0002455675137539014,[],
{'W2'},9,270.5375737979876,254.12560497500385,9,16,23,0.0005617054860774864,0.00016504997285493738,Valid,3215.1507886867303,0.007721370421917435,3215.1507886867303,0.008283075907994921,10101.403523389432,0.026023878088684692,"(369, 437)","(369, 437)",bool,226,171.787,19.56,"[11.948349001324734, 7.500998955178706]",Point Source Detected,"[(266.0938652490289, 246.6580425955746), (265.442729077611, 256.0756178826592)]",0.00014608007003498547,0.0002589292751851636,[],
{'W2'},11,244.42268676214448,191.59675766724166,9,16,23,6.191514090638124e-05,0.00017209454162285957,Valid,3446.7233971540927,0.008817752846345572,3446.7233971540927,0.008879667987251953,11535.734565669654,0.029719092926572113,"(369, 437)","(369, 437)",bool,256,171.787,19.56,[2.3228946132256816],Yes!!,"[(244.12063156533156, 193.25891302343618)]",0.00015124934813850522,0.00027670239786808443,[],
{'W2'},12,239.85047707115217,223.3968174284093,9,16,23,0.00010452064243757046,0.0001943791619646162,Valid,4399.421442261542,0.011229548629130724,4399.421442261542,0.011334069271568294,14690.941619169873,0.03784773797225541,"(369, 437)","(369, 437)",bool,168,171.787,19.56,[8.153464092659007],Point Source Detected,"[(239.17270394676657, 217.5058872360889)]",0.0001708787581074428,0.00031225910593588887,[],
{'W2'},13,230.85588144617907,154.74216664805692,9,16,23,0.0007517884634971128,0.00015755914079949258,Valid,2951.24071929565,0.006851385542122822,2951.24071929565,0.007603174005619935,8963.254742817058,0.0230917068271547,"(369, 437)","(369, 437)",bool,255,171.787,19.56,[6.830833746071463],Yes!!,"[(226.04043168688173, 153.52099224013972)]",0.00013995635157676068,0.00024390638263888423,[],
